job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source
Data Scientist,https://www.naukri.com/job-listings-data-scientist-ust-pune-thiruvananthapuram-5-to-7-years-021225021631,UST,5-7 Yrs,20-27.5 Lacs PA (Including Variable: 5.0%),"Pune, Thiruvananthapuram","Pyspark, EDA, Machine Learning, Deep Learning, Python, Machine, Data, Save",N/A,data-scientist,pune,2025-12-04 12:24:04,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-bmc-software-india-pvt-ltd-pune-4-to-7-years-031225927911,BMC Software,4-7 Yrs,Not Disclosed,Pune,"python, artificial intelligence, tensorflow, django, flask, kubernetes, rest, github, Save",N/A,data-scientist,pune,2025-12-04 12:24:05,Naukri
Opportunity For Data Scientist MLOps/AI professionals,https://www.naukri.com/job-listings-opportunity-for-data-scientist-mlops-ai-professionals-atos-pune-bengaluru-mumbai-all-areas-10-to-15-years-261125037767,Atos,10-15 Yrs,Not Disclosed,"Pune, Bengaluru, Mumbai (All Areas)","AI/ML, MLOps, Langchain, Artificial Intelligence, Data Scientist, LLMOps, LLM, Machine Learning, Save",N/A,data-scientist,pune,2025-12-04 12:24:05,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-fibe-pune-3-to-6-years-071125012890,Fibe,3-6 Yrs,Not Disclosed,Pune(Viman Nagar),"Data Science, Machine Learning, Statistical Modeling, Statistics, Data, Machine, Science, Modeling, Save",N/A,data-scientist,pune,2025-12-04 12:24:06,Naukri
Data Scientist L3,https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-pune-3-to-5-years-271125925878,Wipro,3-5 Yrs,Not Disclosed,Pune,"full stack, python, team management, natural language processing, scikit-learn, neural networks, ml deployment, machine learning, Save",N/A,data-scientist,pune,2025-12-04 12:24:07,Naukri
Data Scientist-Artificial Intelligence,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-3-to-7-years-031225927638,IBM,3-7 Yrs,Not Disclosed,Pune,"python, scikit-learn, tensorflow, pytorch, keras, kubernetes, microsoft azure, cloud platforms, Save",N/A,data-scientist,pune,2025-12-04 12:24:07,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-syngenta-global-pune-4-to-9-years-011225501108,Syngenta,4-9 Yrs,Not Disclosed,Pune,"Data analysis, data science, Agronomy, Machine learning, Windows, Operations, agrochemical, SQL, Save",N/A,data-scientist,pune,2025-12-04 12:24:08,Naukri
Data Scientist-Artificial Intelligence,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-pune-5-to-7-years-021225919760,IBM,5-7 Yrs,Not Disclosed,Pune,"data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications, Save",N/A,data-scientist,pune,2025-12-04 12:24:08,Naukri
AI Solutions Architect (Data Scientist),https://www.naukri.com/job-listings-ai-solutions-architect-data-scientist-plugscale-consulting-pune-bengaluru-8-to-11-years-021225031491,Plugscale Consulting,8-11 Yrs,Not Disclosed,"Hybrid - Pune, Bengaluru","Data Science, Artificial Intelligence, Machine Learning, Large Language Model, Natural Language Processing, Aws Sagemaker, Azure Machine Learning, Generative Artificial Intelligence, Save",N/A,data-scientist,pune,2025-12-04 12:24:09,Naukri
Data Scientist (Bangalore/Chennai/ Pune/Jaipur/Hyderabad /Gurugram),https://www.naukri.com/job-listings-data-scientist-bangalore-chennai-pune-jaipur-hyderabad-gurugram-altimetrik-pune-5-to-10-years-031225913665,Altimetrik,5-10 Yrs,Not Disclosed,Hybrid - Pune,"Data Science, Machine Learning, Deep Learning, Python, GenAI, Pandas, Data, Machine, Save",N/A,data-scientist,pune,2025-12-04 12:24:09,Naukri
AIML Data Scientist,https://www.naukri.com/job-listings-aiml-data-scientist-cognizant-pune-6-to-8-years-011225015559,Cognizant,6-8 Yrs,Not Disclosed,Pune,"image processing, python, natural language processing, analytical, aiml, machine learning, artificial intelligence, research, Save",N/A,data-scientist,pune,2025-12-04 12:24:10,Naukri
Data Scientist- Face2face Interview Saturday,https://www.naukri.com/job-listings-data-scientist-face2face-interview-saturday-reveille-technologies-pune-chennai-4-to-9-years-021225030202,Reveille Technologies,4-9 Yrs,Not Disclosed,"Pune, Chennai","Generative Ai, data scientist, RAG, LLM, Deep Learning, Pytorch, PYTHON, Interviewing, Save",N/A,data-scientist,pune,2025-12-04 12:24:11,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-pune-bengaluru-mumbai-all-areas-8-to-12-years-221125017199,Tata Consultancy Services,8-12 Yrs,Not Disclosed,"Pune, Bengaluru, Mumbai (All Areas)","Data Science, Python, Artificial Intelligence, Natural Language Processing, Machine Learning, Ml, Data, Languages, Save",N/A,data-scientist,pune,2025-12-04 12:24:12,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-fulcrum-worldwide-software-pune-4-to-8-years-021225023111,Fulcrum Worldwide Software,06 Dec,Not Disclosed,Remote,"Data Science, Generative Ai, Retrieval Augmented Generation, Machine Learning, Deep Learning, Machine, Data, Artificial Intelligence, Save",N/A,data-scientist,pune,2025-12-04 12:24:12,Naukri
Data Scientist V,https://www.naukri.com/job-listings-data-scientist-v-infosys-hyderabad-pune-bengaluru-5-to-9-years-171125005243,Infosys,5-9 Yrs,Not Disclosed,"Hybrid - Pune, Hyderabad, Bengaluru","Python, Generative Ai, Machine Learning, Data, V, Machine, Artificial Intelligence, Save",N/A,data-scientist,pune,2025-12-04 12:24:13,Naukri
Middle AI Engineer / Data Scientist,https://www.naukri.com/job-listings-middle-ai-engineer-data-scientist-miratech-pune-4-to-9-years-011225501355,Miratech,4-9 Yrs,Not Disclosed,Pune,"Product engineering, data science, GCP, Machine learning, Cloud, Linguistics, AWS, Python, Save",N/A,data-scientist,pune,2025-12-04 12:24:14,Naukri
Data Scientist (NLP),https://www.naukri.com/job-listings-data-scientist-nlp-infosys-limited-pune-5-to-9-years-201125927462,Infosys,5-9 Yrs,Not Disclosed,Pune,"Data Scientist, nlp, cloud infrastructure, agile, cognos, machine learning, Data, Natural language processing, Save",N/A,data-scientist,pune,2025-12-04 12:24:25,Naukri
Data Scientist - GenAI,https://www.naukri.com/job-listings-data-scientist-genai-ust-kolkata-pune-thiruvananthapuram-2-to-6-years-011225003012,UST,2-6 Yrs,15-20 Lacs PA (Including Variable: 5.0%),"Pune, Kolkata, Thiruvananthapuram","python, Generative Ai, sql, data science, data analytics, natural language processing, predictive analytics, neural networks, Save",N/A,data-scientist,pune,2025-12-04 12:24:25,Naukri
AI Head / Data Scientist,https://www.naukri.com/job-listings-ai-head-data-scientist-wantstats-research-and-media-pune-5-to-10-years-241125017181,Wantstats Research And Media,5-10 Yrs,15-27.5 Lacs PA,Pune(Magarpatta),"Generative Artificial Intelligence, Data Science, Pytorch, VLSI, Artificial Intelligence, Vertex Ai, Computer Vision, Machine Learning, Save",N/A,data-scientist,pune,2025-12-04 12:24:26,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-persolkelly-mumbai-nagpur-thane-nashik-pune-aurangabad-4-to-7-years-271125502391,Persolkelly India,4-7 Yrs,Not Disclosed,"Pune, Mumbai, Nagpur, Thane, Nashik, Aurangabad","Computer science, Computer vision, Automation, Manager Quality Assurance, Prototype, Artificial Intelligence, Machine learning, Data quality, Save",N/A,data-scientist,pune,2025-12-04 12:24:26,Naukri
Data Scientist/Gen ai- Bangalore (Pan India Infosys),https://www.naukri.com/job-listings-data-scientist-gen-ai-bangalore-pan-india-infosys-infosys-hyderabad-pune-bengaluru-3-to-8-years-031025016273,Infosys,3-8 Yrs,8-16 Lacs PA,"Hybrid - Pune, Hyderabad, Bengaluru","Data Science, Generative Artificial Intelligence, Machine Learning, Artificial Intelligence, Machine, Data, Intelligence, Gen, Save",N/A,data-scientist,pune,2025-12-04 12:24:27,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-solytics-partners-pune-3-to-6-years-191125032612,Solytics Partners,3-6 Yrs,Not Disclosed,Hybrid - Pune(Kalyani Nagar),"Data Science, Generative Ai, AIML, Machine Learning, Python, Natural Language Processing, RAG, LLM, Save",N/A,data-scientist,pune,2025-12-04 12:24:27,Naukri
Data Scientist (SLM): Max. 30 Days Joiners,https://www.naukri.com/job-listings-data-scientist-slm-max-30-days-joiners-daksh-consultancy-services-hyderabad-pune-chennai-bengaluru-4-to-9-years-021225022253,80 Years Old Global MNC,4-9 Yrs,18-27.5 Lacs PA,"Hybrid - Pune, Hyderabad, Chennai, Bengaluru","NLI, Conversational NLP System, NLP, TLM, SLM, Embedding Methods, SFT Training, SLM adapter fine-tuning, Save",N/A,data-scientist,pune,2025-12-04 12:24:27,Naukri
Data Scientist || Hybrid || TOP MNC,https://www.naukri.com/job-listings-data-scientist-hybrid-top-mnc-people-prime-worldwide-hyderabad-pune-bengaluru-4-to-9-years-281125009755,People Prime Worldwide,4-9 Yrs,13-23 Lacs PA,"Hybrid - Pune, Hyderabad, Bengaluru","Data Science, NLP, small language models, SLM, LLM, Gen Ai, NLI, Machine Learning, Save",N/A,data-scientist,pune,2025-12-04 12:24:27,Naukri
Data Scientist For Pune Location,https://www.naukri.com/job-listings-data-scientist-for-pune-location-excellon-software-pune-10-to-15-years-281125034663,Excellon Software,10-15 Yrs,Not Disclosed,Pune(Bavdhan),"Data Science, Data Analysis, Python, Power Bi, Data Visualization, Tableau, Bi, Data, Save",N/A,data-scientist,pune,2025-12-04 12:24:28,Naukri
"Data Scientist, Actimize",https://www.naukri.com/job-listings-data-scientist-actimize-atlasrtx-pune-2-to-4-years-281125505469,Atlasrtx,2-4 Yrs,Not Disclosed,Pune,"Logistic regression, Analytical, Agile, Flex, Troubleshooting, Risk management, Continuous improvement, Financial services, Save",N/A,data-scientist,pune,2025-12-04 12:24:28,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-appzen-labs-india-private-limited-pune-5-to-10-years-281125920703,Appzen,5-10 Yrs,Not Disclosed,Pune,"data scientist, s3, kubernetes, python, restful, ai, machine learning, redis, Save",N/A,data-scientist,pune,2025-12-04 12:24:29,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-neemtree-internet-pvt-ltd-pune-2-to-4-years-261125502451,Neemtree Internet,2-4 Yrs,Not Disclosed,Pune,"Computer science, Data analysis, Version control, GIT, Database design, Machine learning, Business intelligence, Analytics, Save",N/A,data-scientist,pune,2025-12-04 12:24:29,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-people-prime-worldwide-hyderabad-pune-bengaluru-4-to-9-years-271125027349,People Prime Worldwide,4-9 Yrs,10-15 Lacs PA,"Pune, Hyderabad, Bengaluru","SLM, Natural Language Processing, small language models, base language models, retriever framework, Process, Languages, Base, Save",N/A,data-scientist,pune,2025-12-04 12:24:30,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-method-hub-software-pvt-ltd-mumbai-hyderabad-pune-chennai-bengaluru-6-to-8-years-201125504184,Methodhub Software,6-8 Yrs,Not Disclosed,"Pune, Mumbai, Hyderabad, Chennai, Bengaluru","switching, network engineering, router, wan, lans, LAN, Engineering, Data, Save",N/A,data-scientist,pune,2025-12-04 12:24:30,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-wishtree-technologies-llp-pune-ahmedabad-3-to-7-years-191125503418,Wishtree Technologies,3-7 Yrs,Not Disclosed,"Pune, Ahmedabad","Procurement, MS SQL, Process optimization, Analytical, Machine learning, Agile, Oracle, Analytics, Save",N/A,data-scientist,pune,2025-12-04 12:24:31,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-genxhire-services-private-limited-pune-10-to-15-years-211125927411,Leading Client,10-15 Yrs,Not Disclosed,Pune,"Agentic Ai, Tensorflow, Java, Scipy, Langchain, Cypher, Scikit-Learn, Pytorch, Save",N/A,data-scientist,pune,2025-12-04 12:24:32,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-beinex-consulting-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-191125503990,Beinex,5-10 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","data science, Artificial Intelligence, Machine learning, Cloud, Deployment, Machine, Data, Intelligence, Save",N/A,data-scientist,pune,2025-12-04 12:24:32,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-genxhire-services-private-limited-pune-3-to-8-years-211125926841,Leading Client,3-8 Yrs,Not Disclosed,Pune,"AWS, MicrosoftAi, Pandas, Ai, Etl Process, Spark, Data Modeling, Numpy, Save",N/A,data-scientist,pune,2025-12-04 12:24:33,Naukri
Data Scientist,https://www.naukri.com/job-listings-data-scientist-genxhire-services-private-limited-pune-10-to-15-years-211125926977,Leading Client,10-15 Yrs,Not Disclosed,Pune,"Data Science, Java, Generative Ai, Ai Techniques, Artificial Intelligence, Machine Learning, Python, Machine, Save",N/A,data-scientist,pune,2025-12-04 12:24:34,Naukri
